commodity_id,commodity
137,Ajwan
281,Alasande Gram
325,Almond(Badam)
166,Alsandikai
86,Amaranthus
130,Ambada Seed
355,Amla(Nelli Kai)
102,Amphophalus
209,Antawala
379,Anthorium
17,Apple
326,Apricot(Jardalu/Khumani)
140,Arecanut(Betelnut/Supari)
49,Arhar (Tur/Red Gram)(Whole)
260,Arhar Dal(Tur Dal)
83,Ashgourd
232,Astera
269,Avare Dal
28,Bajra(Pearl Millet/Cumbu)
274,Balekai
204,Bamboo
19,Banana
90,Banana - Green
29,Barley (Jau)
321,Bay leaf (Tejpatta)
94,Beans
262,Beaten Rice
157,Beetroot
263,Bengal Gram Dal (Chana Dal)
6,Bengal Gram(Gram)(Whole)
357,Ber(Zizyphus/Borehannu)
143,Betal Leaves
41,Betelnuts
85,Bhindi(Ladies Finger)
113,Big Gram
51,Binoula
81,Bitter gourd
8,Black Gram (Urd Beans)(Whole)
264,Black Gram Dal (Urd Dal)
38,Black pepper
380,BOP
189,Borehannu
82,Bottle gourd
290,Bran
35,Brinjal
293,Broken Rice
320,Broomstick(Flower Broom)
214,Bull
284,Bullar
224,Bunch Beans
272,Butter
154,Cabbage
215,Calf
354,Camel Hair
205,Cane
164,Capsicum
40,Cardamoms
375,Carnation
153,Carrot
238,Cashew Kernnel
36,Cashewnuts
270,Castor Oil
123,Castor Seed
34,Cauliflower
188,Chakotha
169,Chapparad Avare
241,Chennangi (Whole)
295,Chennangi Dal
328,Cherry
71,Chikoos(Sapota)
26,Chili Red
88,Chilly Capsicum
167,Chow Chow
402,Chrysanthemum
231,Chrysanthemum(Loose)
316,Cinamon(Dalchini)
105,Cloves
80,Cluster beans
315,Coca
368,Cock
104,Cocoa
138,Coconut
266,Coconut Oil
112,Coconut Seed
45,Coffee
318,Colacasia
129,Copra
43,Coriander(Leaves)
108,Corriander seed
15,Cotton
99,Cotton Seed
212,Cow
92,Cowpea (Lobia/Karamani)
89,Cowpea(Veg)
159,Cucumbar(Kheera)
42,Cummin Seed(Jeera)
352,Custard Apple (Sharifa)
382,Daila(Chandni)
91,Dal (Avare)
273,Dalda
410,Delha
69,Dhaincha
168,Drumstick
132,Dry Chillies
345,Dry Fodder
278,Dry Grapes
370,Duck
163,Duster Beans
367,Egg
361,Egypian Clover(Barseem)
296,Elephant Yam (Suran)
64,Field Pea
221,Fig(Anjura/Anjeer)
206,Firewood
366,Fish
365,Flower Broom
